City,Date,PM2.5,PM10,NO2,CO,SO2,O3,AQI
Delhi,29-10-2017,187.82,300.92,60.61,1.16,25.08,83.99,362
Delhi,30-10-2017,196.37,308.22,69.51,1.47,23.68,88.38,340
Delhi,31-10-2017,211.64,323.45,53.08,1.84,19.36,65.34,366
Delhi,01-11-2017,179.17,265.9,46.83,1.13,16.01,56.79,344
Delhi,02-11-2017,160.69,227.41,47.7,1.4,17.19,61.91,305
Delhi,03-11-2017,168.16,239.73,46.49,1.31,15.29,62.16,310
Delhi,04-11-2017,190.33,292.7,47.28,1.83,18.87,73.16,345
Delhi,05-11-2017,209.61,334.64,60.56,2.33,19.55,86.74,370
Delhi,06-11-2017,216.53,330.27,57.27,1.94,18.74,72.82,377
Delhi,07-11-2017,517.93,654.68,65.17,2.37,15.29,56.06,532
Delhi,08-11-2017,639.19,796.88,77.51,2.74,20.46,55.51,675
Delhi,09-11-2017,495.9,652.21,81.67,2.37,15.68,86.62,677
Delhi,10-11-2017,370.73,496.48,80.73,2.45,17.84,104.94,597
Delhi,11-11-2017,363.77,511.44,78.61,2.32,17.8,95.54,471
Delhi,12-11-2017,465.08,622.4,70.1,2.44,13.94,88.03,613
Delhi,13-11-2017,354.56,498.63,65.77,2.33,15.58,94.42,561
Delhi,14-11-2017,254.36,365.91,56.46,1.74,13.67,69.5,444
Delhi,15-11-2017,192.04,279.26,57.85,1.64,19.24,60.28,378
Delhi,16-11-2017,191.57,278.95,53.86,1.55,22.89,62.01,357
Delhi,17-11-2017,150.79,220.08,47.38,1.51,16.32,47.92,330
Delhi,18-11-2017,143.51,202.59,43.91,1.16,13.3,37.68,309
Delhi,19-11-2017,128.65,190.51,45.6,1.2,15.12,47.8,297
Delhi,20-11-2017,171.34,249.28,52.73,1.3,13.7,54.08,329
Delhi,21-11-2017,178.08,253.38,54.75,1.52,15.02,57.13,341
Delhi,22-11-2017,177.41,258.11,54.64,1.51,18.13,57.6,348
Delhi,23-11-2017,175.56,251.23,55.04,1.55,18.32,54.34,340
Delhi,24-11-2017,187.97,256.92,64.15,1.65,19.2,54.02,348
Delhi,25-11-2017,185.31,268.09,76.48,1.74,17.95,48.1,347
Delhi,26-11-2017,224.37,338.82,67.6,1.97,21.01,44.82,368
Delhi,27-11-2017,198.34,328.09,68.93,1.64,18.95,41.09,382
Delhi,28-11-2017,167.74,290.47,62.53,1.76,19.39,34.78,360
Delhi,29-11-2017,215.17,327.64,75.37,2.31,20.1,40.91,359
Delhi,30-11-2017,219.84,344.17,57.73,2.11,16.83,44.4,388
Delhi,01-12-2017,190.45,309.07,56.83,1.83,17.59,31.62,377
Delhi,02-12-2017,208.87,324.46,65.66,2.1,20.17,36.62,356
Delhi,03-12-2017,240.87,359.22,65.83,2.28,19.92,37.61,384
Delhi,04-12-2017,261.82,390.1,65.49,2.49,20.17,32.64,415
Delhi,05-12-2017,230.56,358.86,64.61,2.41,18.29,50.69,404
Delhi,06-12-2017,120.91,210.21,51.02,1.65,20.88,43.68,330
Delhi,07-12-2017,88.95,170.12,45.83,1.49,18.17,41.43,215
Delhi,08-12-2017,115.08,204.38,53.85,1.56,21.69,50.26,220
Delhi,09-12-2017,165.76,268.35,70.14,1.77,24.22,68.58,312
Delhi,10-12-2017,230.34,341.87,83.94,2.18,25.97,90.07,389
Delhi,11-12-2017,218.87,338.45,71.25,2.28,24.39,66.07,406
Delhi,12-12-2017,109.18,152.76,45.94,1.51,11.71,38.75,280
Delhi,13-12-2017,134.99,203.48,40.27,1.34,10.81,46.28,263
Delhi,14-12-2017,126.67,189.9,36.59,1.31,11.18,42.19,276
Delhi,15-12-2017,127.57,194.15,34.73,1.28,9.69,38.04,292
Delhi,16-12-2017,100.72,152.72,29.84,1.06,4.98,23.98,228
Delhi,17-12-2017,95.58,163.65,37.37,1.2,12.68,36.4,195
Delhi,18-12-2017,115.19,189.64,45.8,1.28,16.97,45.37,223
Delhi,19-12-2017,168.33,257.19,54.84,1.48,23.03,49.68,291
Delhi,20-12-2017,283.24,410.74,66.41,1.91,25,67.35,378
Delhi,21-12-2017,293.14,435.23,61.63,1.45,22.54,66.06,467
Delhi,22-12-2017,157.72,241.38,50.73,1.17,20.47,48.84,370
Delhi,23-12-2017,117.72,181.59,50.97,1.54,19.95,43.85,253
Delhi,24-12-2017,203.18,301.71,66.65,1.74,23.73,59.85,309
Delhi,25-12-2017,259,368.35,58.92,1.68,23.76,56.1,398
Delhi,26-12-2017,224.42,326.11,57.6,1.57,22.1,38.93,372
Delhi,27-12-2017,224.27,317.87,65.61,1.69,23.17,58.98,379
Delhi,28-12-2017,249.17,362.39,70.25,1.86,25.51,66,398
Delhi,29-12-2017,227.28,347.63,59.7,1.7,25.54,61.36,399
Delhi,30-12-2017,273.56,401.15,60.4,1.96,21.01,61.73,421
Delhi,31-12-2017,306.17,445.58,66.97,1.95,17.97,76.45,451
Delhi,01-01-2018,303.41,415.09,63.92,1.8,18.58,68.75,462
Delhi,02-01-2018,277.48,422.59,53.73,1.52,12.43,68.68,439
Delhi,03-01-2018,217.01,336.87,52.24,1.29,10.28,54.94,405
Delhi,04-01-2018,248.54,377.61,61.57,1.36,14.42,66.31,394
Delhi,05-01-2018,240.42,360.99,54.8,1.38,13.2,48.57,398
Delhi,06-01-2018,252.57,378.9,59.12,1.59,18.15,39.65,403
Delhi,07-01-2018,191.66,292.74,47.02,1.3,16.27,57.39,384
Delhi,08-01-2018,152.98,259.13,51.6,1.33,17.15,54.55,314
Delhi,09-01-2018,233.1,355.21,66.19,1.54,21.82,66.79,373
Delhi,10-01-2018,186.26,294.24,60.21,1.4,18.98,58.51,366
Delhi,11-01-2018,154.64,243.95,63.57,1.47,17.4,56.22,318
Delhi,12-01-2018,168.87,281.06,65.3,1.56,24.03,62.37,306
Delhi,13-01-2018,230.5,355.43,61.28,2.12,24.28,75.14,370
Delhi,14-01-2018,191.47,308.74,54.37,1.72,22.47,64.8,365
Delhi,15-01-2018,177.71,309.85,52.51,1.42,19.12,59.73,352
Delhi,16-01-2018,133.56,231.04,46.86,1.36,19.06,54,278
Delhi,17-01-2018,235.06,353.55,47.86,1.61,14.48,64.1,350
Delhi,18-01-2018,276.25,428.08,55.08,2.04,21.02,72.89,411
Delhi,19-01-2018,253.7,398.16,49.45,1.82,22.27,73.6,451
Delhi,20-01-2018,152.33,252.92,38.87,1.31,14.45,43.18,351
Delhi,21-01-2018,153.61,274.5,44.09,1.51,16.91,41.49,310
Delhi,22-01-2018,202.11,352.68,56.45,1.87,21.64,68.33,362
Delhi,23-01-2018,160.79,248.48,47.26,1.43,14.25,48.67,343
Delhi,24-01-2018,130.16,192.19,35.33,1.32,11.9,42.04,286
Delhi,25-01-2018,111.75,167.31,40.13,1.37,6.84,43.99,267
Delhi,26-01-2018,128.45,207.66,38.17,1.43,7.99,44.09,263
Delhi,27-01-2018,155.2,271.1,45.14,1.4,7.94,56.12,284
Delhi,28-01-2018,150.96,248.26,47.6,1.85,10.26,54.01,334
Delhi,29-01-2018,162.48,272.45,54.51,1.96,12.61,60.56,332
Delhi,30-01-2018,126.84,212.59,47.59,2,14.47,56.85,300
Delhi,31-01-2018,123.48,205.56,45.46,2.52,11.35,53.7,271
Delhi,01-02-2018,157.33,298.58,63.88,1.62,18.67,60.7,293
Delhi,02-02-2018,140.35,282.16,54.28,1.49,12.25,52.12,318
Delhi,03-02-2018,115.05,239.61,51.46,1.29,14.2,52.29,277
Delhi,04-02-2018,133.8,252.13,46.74,1.3,13.2,52.23,284
Delhi,05-02-2018,163.6,308.37,63.42,1.33,14.77,43.11,313
Delhi,06-02-2018,143.29,274.72,56.51,1.21,14.94,41.11,324
Delhi,07-02-2018,131.49,246.92,54.53,1.18,14.58,49.34,287
Delhi,08-02-2018,186.19,338.61,74.83,1.75,13.8,45.91,334
Delhi,09-02-2018,203.33,348.94,74.5,1.7,14.35,49.11,375
Delhi,10-02-2018,209.7,373.06,99.06,2.55,13.77,53.31,378
Delhi,11-02-2018,148.13,300.96,62.4,1.56,14.45,43.54,350
Delhi,12-02-2018,72.36,153.11,33.08,0.97,8.58,37.47,218
Delhi,13-02-2018,103.93,170.12,46.48,1.21,10.25,38.83,189
Delhi,14-02-2018,76.92,149.43,34.92,0.96,9.03,38.43,217
Delhi,15-02-2018,94.49,173.59,38.54,1.03,11.47,40.95,189
Delhi,16-02-2018,123.19,219.11,48.33,1.21,12.49,38.4,248
Delhi,17-02-2018,127.8,244.27,49.9,1.27,15.01,44.13,277
Delhi,18-02-2018,127.27,234.67,50.94,1.36,12.17,45.75,284
Delhi,19-02-2018,172.55,315.75,71.76,1.96,15.25,49.74,321
Delhi,20-02-2018,167.16,317.53,68.29,1.89,14.53,51.27,335
Delhi,21-02-2018,172.99,346.46,92.54,2.42,13.97,57.47,347
Delhi,22-02-2018,159.67,313.47,66.4,1.8,15.89,47.69,333
Delhi,23-02-2018,163.75,333.99,70.77,1.81,16.26,48.62,331
Delhi,24-02-2018,164.2,349.29,62.66,1.52,15.09,55.26,347
Delhi,25-02-2018,106.26,222.46,42.88,1,14.34,43.87,317
Delhi,26-02-2018,67.27,156.72,33.59,0.88,9.64,43.19,170
Delhi,27-02-2018,85.53,178.51,43.12,1.15,10.72,40.51,167
Delhi,28-02-2018,143.25,279.26,52.5,1.47,14.52,46.16,274
Delhi,01-03-2018,120.71,256.86,51.74,1.43,14.9,40.69,293
Delhi,02-03-2018,139.18,253.32,50.64,1.64,11.52,45.55,300
Delhi,03-03-2018,98.25,205.92,41.07,1.18,12.93,38.38,244
Delhi,04-03-2018,79.83,182.26,39.02,0.99,12.95,34.95,205
Delhi,05-03-2018,76.96,164.74,39.58,0.99,12.7,40.45,180
Delhi,06-03-2018,75.45,163.52,37.92,0.94,12.99,44.99,170
Delhi,07-03-2018,87.62,178.53,45.6,1.11,13.23,45.24,192
Delhi,08-03-2018,139.88,283.57,79.5,1.84,16.98,57.76,262
Delhi,09-03-2018,134.76,274.89,65.86,1.64,18.68,52.43,316
Delhi,10-03-2018,75.67,171.69,39.85,0.95,14.8,41.74,207
Delhi,11-03-2018,88.3,183.74,41.81,1.08,15.41,46.28,179
Delhi,12-03-2018,105.29,223.67,45.32,1.18,17.48,44.49,236
Delhi,13-03-2018,109.22,245.66,56.5,1.54,17.22,43.79,241
Delhi,14-03-2018,116.62,328.98,64.82,1.63,17.39,48.03,287
Delhi,15-03-2018,108.98,314.72,48.86,1.23,16.08,37.77,314
Delhi,16-03-2018,111.67,256.67,41.48,1.09,16.61,43.04,269
Delhi,17-03-2018,81.57,170.16,32.61,1.09,13.63,37.89,218
Delhi,18-03-2018,82.15,173.07,31.72,1.2,17.22,45.83,177
Delhi,19-03-2018,81.93,197.13,43.85,1.1,16.95,44.89,177
Delhi,20-03-2018,109.99,249.2,55.71,1.42,20.52,51.95,224
Delhi,21-03-2018,133.53,280.94,45.33,1.36,24.36,52.82,302
Delhi,22-03-2018,83.4,176.02,33.49,1,17.14,45.99,226
Delhi,23-03-2018,64.2,151.45,34.53,0.89,12.75,46.6,171
Delhi,24-03-2018,78.4,186.62,37.32,0.91,14.56,50.02,183
Delhi,25-03-2018,85.34,190.95,34.66,0.96,15.57,54.47,202
Delhi,26-03-2018,85.9,198.67,41.2,1.06,16.28,52.72,203
Delhi,27-03-2018,111.26,256.4,60.75,1.52,18.5,49.55,246
Delhi,28-03-2018,117.78,280.25,71.04,1.74,16.27,57.85,293
Delhi,29-03-2018,95.98,217.49,41.56,1.01,16.53,57.43,238
Delhi,30-03-2018,96.45,241.13,45.84,1.11,15.95,58.75,234
Delhi,31-03-2018,101.59,292.49,44.76,1.17,16.59,67.56,269
Delhi,01-04-2018,75.14,199.8,37.97,1.01,14.13,68.76,217
Delhi,02-04-2018,96.38,241.96,48.52,1.22,16.54,64.33,217
Delhi,03-04-2018,101.18,252.21,51.63,1.28,17.36,67.6,239
Delhi,04-04-2018,111.82,262.69,52.51,1.44,16.58,65.46,244
Delhi,05-04-2018,152.56,337.64,60.24,1.76,19.67,64.73,329
Delhi,06-04-2018,100.5,231.2,44.92,1.42,19.96,54.04,271
Delhi,07-04-2018,48.46,132.97,36.94,1.12,10.48,54.42,170
Delhi,08-04-2018,50.27,137.52,34.29,1.09,10.5,56.29,142
Delhi,09-04-2018,49.56,123.41,39.45,1.35,10.77,42.76,133
Delhi,10-04-2018,93.89,251.98,45.16,1.57,12.65,60.94,205
Delhi,11-04-2018,48.61,125.53,32.33,0.99,11.21,46.34,179
Delhi,12-04-2018,46.21,109.03,40.94,1.3,10.07,48.2,135
Delhi,13-04-2018,83.96,196.02,54.68,1.78,13.37,47.74,201
Delhi,14-04-2018,97.16,235.01,59.41,2.12,15.77,47.69,233
Delhi,15-04-2018,107.36,258.52,67.79,2.26,17.56,53.47,240
Delhi,16-04-2018,119.75,334.05,76.17,2.51,21.02,55.85,296
Delhi,17-04-2018,81.97,260.67,57.84,1.56,13.57,49.19,266
Delhi,18-04-2018,73.44,256.18,40.44,1.04,13.29,51.01,216
Delhi,19-04-2018,89.49,282.24,51.78,1.19,16.76,53.3,242
Delhi,20-04-2018,100.01,385.04,40.56,0.91,15.55,48.98,271
Delhi,21-04-2018,119.24,480.07,30.99,0.89,12.08,61.05,444
Delhi,22-04-2018,62.06,208.53,31.63,0.85,16.92,60.81,302
Delhi,23-04-2018,76.11,219.94,39.43,1.03,12.89,63.78,197
Delhi,24-04-2018,108.64,274.05,57.07,1.28,17.01,59.45,242
Delhi,25-04-2018,117.56,313.41,82.47,2.02,15.1,48.81,287
Delhi,26-04-2018,142.82,397.1,78.5,2.09,17.89,65.07,329
Delhi,27-04-2018,107.47,336.49,49.86,1.41,12.96,69.49,351
Delhi,28-04-2018,84.13,316.52,36.11,1.14,12.38,75.5,288
Delhi,29-04-2018,89.1,259.12,42.57,1.26,16.1,69.07,259
Delhi,30-04-2018,79.3,214.51,46.42,1.12,11.9,60.39,221
Delhi,01-05-2018,54.88,165.91,33.37,0.81,8.8,65.54,173
Delhi,02-05-2018,66.74,189.28,34.14,1.02,7.65,64.55,161
Delhi,03-05-2018,47.25,153.75,31.77,1.23,9.52,50.16,167
Delhi,04-05-2018,49.09,123.82,30.44,1.17,9.06,59.09,146
Delhi,05-05-2018,74.82,196.76,46.75,1.74,11.85,59.48,174
Delhi,06-05-2018,110.48,290.63,53.69,2.05,14.61,57.57,280
Delhi,07-05-2018,111.95,302.1,54.75,2.2,16.31,57.48,243
Delhi,08-05-2018,61,177.71,27.66,1.31,6.97,61.42,252
Delhi,09-05-2018,71.99,177.76,46.09,1.46,12.35,53.1,168
Delhi,10-05-2018,93.45,215.34,52.15,2.41,12.02,57.78,218
Delhi,11-05-2018,132.39,315.8,65.41,2.73,16.58,65.24,292
Delhi,12-05-2018,144.33,353.5,74.13,3.2,17.75,67.9,330
Delhi,13-05-2018,80.64,236.35,31.22,2.1,11.48,67.88,285
Delhi,14-05-2018,49.22,137.39,40.3,2.05,11.3,56.2,174
Delhi,15-05-2018,67.23,177.03,39.81,1.91,11.9,62.52,173
Delhi,16-05-2018,78.74,221.21,41.79,1.11,9.25,54.41,194
Delhi,17-05-2018,105.99,288.92,44.14,0.85,13.61,70.39,240
Delhi,18-05-2018,96.96,241.99,53.88,1.07,13.97,58.67,254
Delhi,19-05-2018,103.98,284.44,65.52,1.46,12.48,57.66,270
Delhi,20-05-2018,83.66,228.61,45.88,1.08,12.65,55.77,231
Delhi,21-05-2018,71.25,209.67,42.68,0.91,12.73,60.27,208
Delhi,22-05-2018,91.16,243.14,59.07,1.17,15.56,59.41,207
Delhi,23-05-2018,129.23,324,77.28,1.66,17.57,59.46,306
Delhi,24-05-2018,114.13,298.07,57.51,1.34,17.78,53.43,303
Delhi,25-05-2018,83.88,249.82,59.34,1.31,12.73,48.95,260
Delhi,26-05-2018,103.02,263.49,64.88,1.47,14.9,49.85,244
Delhi,27-05-2018,97.37,314.96,58.31,1.1,11.59,56.75,268
Delhi,28-05-2018,117.56,290.96,54.01,1.33,15.54,59.11,276
Delhi,29-05-2018,112.6,312.18,60.34,1.4,11.93,59.1,303
Delhi,30-05-2018,65.76,295.94,33.21,0.95,8.58,59.9,272
Delhi,31-05-2018,71.99,235.22,40.76,1,9.71,50.6,223
Delhi,01-06-2018,79.98,233.97,30.14,0.81,8.24,58.87,196
Delhi,02-06-2018,52.6,154.66,29.28,0.98,9.08,60.12,183
Delhi,03-06-2018,59.52,140.21,31.51,0.84,7.79,57.87,154
Delhi,04-06-2018,64.42,179.31,30.68,0.81,8.14,57.03,170
Delhi,05-06-2018,61.72,152.57,27.67,0.82,7.51,48.46,160
Delhi,06-06-2018,57.68,159.45,31.11,0.88,9.34,48.47,146
Delhi,07-06-2018,73.77,165.33,33.8,0.96,10.1,60.18,166
Delhi,08-06-2018,76.78,196.34,31.27,0.95,7.75,54.22,180
Delhi,09-06-2018,52.79,136.75,27.39,0.9,6.41,41.95,153
Delhi,10-06-2018,67.02,141.09,34.23,0.93,7.35,45.16,153
Delhi,11-06-2018,73.22,218.14,34.85,0.9,6.94,46.66,186
Delhi,12-06-2018,141.28,497.9,31.72,0.87,8.73,37.85,285
Delhi,13-06-2018,261.77,743.98,25.75,0.77,6.91,27.45,453
Delhi,14-06-2018,225.49,761.91,25.37,0.72,7.22,43.38,522
Delhi,15-06-2018,153.28,613.34,24.61,0.7,7.31,40.15,593
Delhi,16-06-2018,127.32,516.85,25,0.68,7.29,45.76,531
Delhi,17-06-2018,84.47,289.18,22.78,0.68,6.18,44.56,384
Delhi,18-06-2018,61.06,166.71,26.68,0.77,7.71,46.41,179
Delhi,19-06-2018,52.76,152.06,26.52,0.68,6.5,53.39,146
Delhi,20-06-2018,67.55,201.22,33.71,0.77,10.05,60.2,175
Delhi,21-06-2018,76.98,273.16,34.82,0.75,9.73,66.75,221
Delhi,22-06-2018,83.98,247.55,45.06,0.99,12.38,64.38,249
Delhi,23-06-2018,81.33,242.29,44.23,0.96,11.68,66.18,228
Delhi,24-06-2018,54.15,163.89,34.98,0.77,13.73,59.17,194
Delhi,25-06-2018,46.9,155.61,34.92,0.74,12.17,39.06,168
Delhi,26-06-2018,29.98,92.12,34.16,0.72,13.16,33.09,128
Delhi,27-06-2018,52.48,111.4,31,0.84,10.43,44.04,126
Delhi,28-06-2018,30.07,71.42,29.01,0.76,8.48,33.17,99
Delhi,29-06-2018,37.11,84.12,30.43,0.87,9.36,31.43,90
Delhi,30-06-2018,41.41,103.75,32.89,0.91,9.55,31.21,113
Delhi,01-07-2018,34.18,97.81,28.46,0.78,8.53,28.09,102
Delhi,02-07-2018,34.24,122.23,25.74,0.65,8.82,33.79,111
Delhi,03-07-2018,44.55,109.65,37.27,0.86,10.11,39.78,122
Delhi,04-07-2018,45.76,113.75,31.17,0.78,10.14,45.71,128
Delhi,05-07-2018,50.41,133.6,38.05,0.95,11.14,41.14,130
Delhi,06-07-2018,57.12,163.19,36.71,0.94,10.27,40.01,147
Delhi,07-07-2018,61.93,158.13,34.43,0.9,10.4,53.82,155
Delhi,08-07-2018,68.2,179.05,39.85,0.98,11.6,65.27,176
Delhi,09-07-2018,70.48,169.96,35.14,0.93,11,54.8,168
Delhi,10-07-2018,47.48,112.45,28.19,0.81,10.92,43.89,140
Delhi,11-07-2018,39.78,102.39,31.82,0.84,11.26,34.6,111
Delhi,12-07-2018,46.53,127.08,34.22,0.76,10.92,45.16,130
Delhi,13-07-2018,28.44,61.6,31.94,0.88,10.69,26.96,109
Delhi,14-07-2018,33.82,70.35,31.63,0.84,11.13,29.2,96
Delhi,15-07-2018,37.76,78.42,28.9,0.78,10.64,28.01,92
Delhi,16-07-2018,37.32,83.03,33.31,0.96,9.51,23.59,95
Delhi,17-07-2018,34.26,84.78,30.73,0.87,10.2,31.96,105
Delhi,18-07-2018,37.76,97.11,29.45,0.82,11.04,32.43,114
Delhi,19-07-2018,35.04,83.54,27.41,0.8,11.14,31.96,106
Delhi,20-07-2018,37.26,80.33,33.46,0.89,10.4,24.18,90
Delhi,21-07-2018,50.21,95.93,36.48,0.97,11.2,32.23,114
Delhi,22-07-2018,25.81,47.63,27.55,0.83,9.85,24.91,87
Delhi,23-07-2018,32.39,69.73,28.74,0.81,10.43,26.11,80
Delhi,24-07-2018,39.3,94.8,29.15,0.83,10.78,34.46,101
Delhi,25-07-2018,34.7,80.13,27.58,0.81,9.99,21.39,90
Delhi,26-07-2018,32.22,57.98,25.1,0.89,9.27,18.6,90
Delhi,27-07-2018,21.75,35.79,23.41,0.91,9.13,19.82,68
Delhi,28-07-2018,37.69,67.2,21.59,0.73,9.55,24.11,71
Delhi,29-07-2018,44.03,116.89,25.02,0.74,9.37,26.19,100
Delhi,30-07-2018,39.89,122.86,25.06,0.8,8.96,28.09,122
Delhi,31-07-2018,50.59,165.4,28.84,0.91,9.12,27.81,135
Delhi,01-08-2018,55.77,195.09,26.14,0.94,9.71,29.94,155
Delhi,02-08-2018,71.5,268.29,25.2,0.86,10.22,29.3,215
Delhi,03-08-2018,65.46,248.8,26.08,0.78,9.48,28.1,228
Delhi,04-08-2018,69.75,264.97,28.77,0.76,9.61,29.61,215
Delhi,05-08-2018,63.57,246.89,24.82,0.71,9.86,25.4,234
Delhi,06-08-2018,50.64,131.76,26.59,0.9,9.4,27.42,166
Delhi,07-08-2018,44.54,110.19,26.15,0.98,10.65,32.06,123
Delhi,08-08-2018,36.7,76.04,25.24,1.02,9.47,31.12,108
Delhi,09-08-2018,36.84,91.15,24.98,0.89,9.85,34.11,102
Delhi,10-08-2018,46.24,115.63,34.82,1.11,9.66,31.83,111
Delhi,11-08-2018,32.72,98.26,24.06,0.7,8.84,27.66,106
Delhi,12-08-2018,25.7,83.58,23.5,0.66,9.09,23.92,92
Delhi,13-08-2018,32.75,106.03,25.04,0.84,9.26,27.7,102
Delhi,14-08-2018,46.85,126.7,29.49,1.09,9.86,32.47,122
Delhi,15-08-2018,43,117.21,23.72,0.84,8.85,34.04,128
Delhi,16-08-2018,36.49,88.06,29.32,1.21,10.43,31.87,109
Delhi,17-08-2018,32.98,80.82,24.58,0.98,9.26,30.62,109
Delhi,18-08-2018,32.11,77.4,26.17,0.88,10.05,30.9,90
Delhi,19-08-2018,47.01,96,31.85,1.07,11.4,32.1,100
Delhi,20-08-2018,61.1,125.39,32.54,1.18,10.88,39.36,138
Delhi,21-08-2018,30.98,77.56,27.85,1.02,11.99,31.02,105
Delhi,22-08-2018,29.75,74.91,28.18,0.9,11.43,25.33,91
Delhi,23-08-2018,31.19,73.3,24.72,0.82,10.82,18.25,86
Delhi,24-08-2018,23.71,88,24.6,0.8,10.4,19.29,89
Delhi,25-08-2018,21.96,82.69,22.78,0.68,10.9,20.69,100
Delhi,26-08-2018,23.96,77.21,19.92,0.6,10.31,24.77,85
Delhi,27-08-2018,24.78,56.62,23.6,0.78,10.82,26.5,82
Delhi,28-08-2018,29.26,58.76,25.52,0.85,10.84,21.91,81
Delhi,29-08-2018,36.06,65.58,26.12,0.9,10.23,21.53,88
Delhi,30-08-2018,41.26,95.47,28.28,0.95,9.97,27.06,97
Delhi,31-08-2018,47.53,152.29,25.96,0.82,9.67,23.57,127
Delhi,01-09-2018,45.19,110.35,28.51,1.02,10.53,19.58,132
Delhi,02-09-2018,40.9,80.4,23.44,0.87,9.81,23.36,116
Delhi,03-09-2018,42.06,72.38,27.63,1.06,9.96,26.15,89
Delhi,04-09-2018,55.72,105.56,35.94,1.29,10.8,26.55,118
Delhi,05-09-2018,39.77,101.8,30.63,1.04,9.62,20.64,108
Delhi,06-09-2018,49.44,138.52,30.88,0.96,10.13,26.24,137
Delhi,07-09-2018,42.11,87.03,37.91,1.1,10.75,28.23,117
Delhi,08-09-2018,35.45,72.63,26.65,0.84,11.38,23.65,105
Delhi,09-09-2018,29.1,56.92,23.58,0.72,10.98,26.36,86
Delhi,10-09-2018,36.99,83.98,29.61,0.88,11.21,29.46,92
Delhi,11-09-2018,28.33,78.11,26,0.78,9.77,23.21,91
Delhi,12-09-2018,28.55,103.27,24.4,0.71,10.31,22.44,96
Delhi,13-09-2018,27.49,115.88,23.21,0.63,11.24,23.11,108
Delhi,14-09-2018,31.38,113.92,25.18,0.7,11.21,24.58,113
Delhi,15-09-2018,37.48,125.81,27.72,0.8,11.74,25.86,126
Delhi,16-09-2018,43.09,131.43,25.92,0.72,11.14,26.12,124
Delhi,17-09-2018,55.86,157.59,29.15,0.78,11.12,35.01,135
Delhi,18-09-2018,54.94,165.11,29.8,0.75,11.95,38.79,154
Delhi,19-09-2018,58.63,175.12,37.36,0.89,13.43,40.04,157
Delhi,20-09-2018,73.3,185.23,38.16,0.98,14.41,49.18,173
Delhi,21-09-2018,46.73,112.51,26.7,0.75,12.74,30.31,155
Delhi,22-09-2018,24.29,46.36,21.72,0.73,11.11,23.89,76
Delhi,23-09-2018,30.71,54.77,19.88,0.67,11.59,28.89,69
Delhi,24-09-2018,21.46,35.84,25.07,0.74,11.08,19.54,63
Delhi,25-09-2018,21.45,49.41,25.67,0.81,10.88,22.48,63
Delhi,26-09-2018,42.83,108.67,32.38,1.03,11.59,28.54,99
Delhi,27-09-2018,71.44,171.42,37.42,1.5,12.78,35.24,151
Delhi,28-09-2018,83.78,214.66,44.68,1.78,12.98,37.24,200
Delhi,29-09-2018,92.46,230.62,46.15,1.57,13.08,41.92,229
Delhi,30-09-2018,69.49,155.26,34.52,1,12.38,35.54,176
Delhi,01-10-2018,65.78,177.08,40.86,1.13,12.7,38.52,148
Delhi,02-10-2018,76.03,185.21,36.68,1.11,12.25,35.8,186
Delhi,03-10-2018,63.37,177.17,42.57,1.13,13.36,36.72,160
Delhi,04-10-2018,97.4,235.14,48.01,1.34,14.42,45.63,206
Delhi,05-10-2018,121.12,270.61,53.69,1.62,17.27,44.88,268
Delhi,06-10-2018,78.87,199.37,44.71,1.23,13.42,32.93,237
Delhi,07-10-2018,81.14,221.03,44.81,1.25,14.33,42.38,189
Delhi,08-10-2018,118.6,279.23,56.21,1.51,16.13,51.05,253
Delhi,09-10-2018,103.26,263.89,54.24,1.59,19.67,52.46,269
Delhi,10-10-2018,93.36,256.14,47.73,1.51,16.55,43.9,263
Delhi,11-10-2018,70.42,208.39,37.74,1.02,14.54,37.04,219
Delhi,12-10-2018,67.93,172.04,44.48,1.13,16.06,42.01,163
Delhi,13-10-2018,132.93,264.13,49.89,1.41,17.91,42,264
Delhi,14-10-2018,91.88,217.12,47.34,1.3,16.07,40.16,237
Delhi,15-10-2018,115.96,280.24,55.44,1.61,17.96,44.92,253
Delhi,16-10-2018,139.18,342.5,64.18,2.2,19.19,54.38,309
Delhi,17-10-2018,137.29,323.31,52.81,1.93,17.13,44.29,332
Delhi,18-10-2018,143.2,337.98,57.64,2.47,18.46,44.65,330
Delhi,19-10-2018,137.73,313.84,54.31,1.66,18.35,51.05,300
Delhi,20-10-2018,168.87,328.13,54.04,1.55,19.82,47.64,344
Delhi,21-10-2018,141.15,294.36,55.77,1.52,20.59,42.61,325
Delhi,22-10-2018,121.65,274.68,55.49,1.55,17.74,41.32,296
Delhi,23-10-2018,119.4,302.16,63.32,1.84,19.49,44.7,274
Delhi,24-10-2018,174.04,384.46,77.72,2.52,20.95,56.09,354
Delhi,25-10-2018,168.82,368.33,72.23,2.35,22.51,62.29,356
Delhi,26-10-2018,203.12,396.01,74.04,2.72,20.76,53.02,394
Delhi,27-10-2018,206.05,408.94,77.3,3.14,19.9,52.9,396
Delhi,28-10-2018,205,375.23,57.66,2.45,15.62,52.78,403
Delhi,29-10-2018,231.83,427.06,62.22,2.67,16.66,53.2,397
Delhi,30-10-2018,263.39,459.45,70.46,2.9,17.62,50.55,456
Delhi,31-10-2018,225.17,405.94,68.02,2.91,18.11,47.05,422
